same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,,Yes,Very Good,Yes,Yes,Yes,Yes,I don’t know,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Clothes/shoes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Protective Services: (e.g.,  firefighter, police officer, security guard),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,"Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Most of the time,Sometimes,Sometimes,This does not apply to me,Sometimes,This does not apply to me,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very poorly,Not likely at all,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,No,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)","Enroll at a 4 year college/university,Work full-time",No,No,Yes,No,Yes,No,No,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Outdoor / Maintenance / Conservation,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Legal: (e.g.,  lawyer, judge, paralegal),Protective Services: (e.g.,  firefighter, police officer, security guard),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,No,No,Yes,No,Yes,No,No,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Eating out,Entertainment",Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Several days,Not at all,Not at all,Not at all,Other (please write in):,Prefer not to say,No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,No,No,No,No,No,No,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Eating out,Entertainment",Sometimes,Sometimes,Sometimes,This does not apply to me,Never,Sometimes,Most of the time,Most of the time,Never,Most of the time,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Probably not,N/A - I did not have a job supervisor,,,,,,,Somewhat Good,Yes,No,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work full-time",Yes,No,No,No,No,No,No,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,"Organizational skills (i.e. time management, keeping a calendar)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Never,Never,Sometimes,Never,Never,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Never,Sometimes,Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,No,No,Not Very Good At All,Yes,,Yes,Yes,I don’t know,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Other:,Prefer not to say,I don't pay for any household bills,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,More than half the days,More than half the days,Several days,Several days,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,26+,Outdoor / Maintenance / Conservation,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Two or More Races,No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,Yes,Yes,Yes,"Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Prefer not to say,No other language,Both of my parents
