same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
No,I had an in-person job or internship,21 to 25,Individual / Group Project Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,No,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)","Enroll at a 4 year college/university,Enroll at a 2 year community college,Work full-time,Work part-time",No,No,Yes,Yes,Yes,No,Yes,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",Eating out,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Never,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Two or More Races,No other language,Only my mother
Yes,I had an in-person job or internship,16 to 20,Technology / Computer Work,Somewhat well,Likely,Often supportive,No,,Yes,Yes,Yes,Yes,Neither Good Nor Bad,Yes,No,Yes,No,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Work full-time,Work part-time",No,No,No,Yes,No,Yes,No,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Not at all,Not at all,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
Yes,I had an in-person job or internship,,Technology / Computer Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",Prefer not to say,"Cell phone,Groceries,T/bus pass,Clothes/shoes",Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Not at all,Not at all,Several days,Several days,Prefer not to say,Prefer not to say,Prefer not to say,My grandparent(s)
Yes,I had an in-person job or internship,,Technology / Computer Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Job readiness skills (i.e. writing a resume and interviewing),I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Clothes/shoes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),Prefer not to say,Both of my parents
Yes,I had an in-person job or internship,16 to 20,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,,,,,,,Not at all,Not at all,Several days,Not at all,Male,American Indian or Alaska Native (Not Hispanic or Latino),Prefer not to say,Both of my parents
No,I had an in-person job or internship,21 to 25,Technology / Computer Work,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,No,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Enroll in a career training program (e.g., City Academy, YearUp),Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time",No,No,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",Prefer not to say,Prefer not to say,Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,This does not apply to me,Never,Most of the time,Sometimes,Never,Never,Most of the time,Not applicable (N/A),Not at all,Several days,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
Yes,I had an in-person job or internship,21 to 25,Technology / Computer Work,Somewhat well,Not sure / maybe,Very supportive,No,Yes,Yes,Yes,Yes,No,Very Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)",Enroll at a 4 year college/university,Yes,No,No,Yes,No,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,"Communication skills (i.e. public speaking, writing emails)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Clothes/shoes,Eating out",Most of the time,Sometimes,Never,Sometimes,Most of the time,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Not at all,,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my father
No,I had an in-person job or internship,21 to 25,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Education: (e.g.,  teacher, professor, or daycare provider),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers),I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Other household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Other relative
No,I had an in-person job or internship,,Technology / Computer Work,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal)","Enroll at a 4 year college/university,Join the military (e.g., army, navy, air force, marines, coast guard)",No,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,"Communication skills (i.e. public speaking, writing emails),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Sometimes,Sometimes,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Never,Sometimes,Not at all,Not at all,Not at all,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
Yes,I had an in-person job or internship,16 to 20,Technology / Computer Work,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work full-time,Work part-time",No,No,Yes,Yes,No,No,No,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Job readiness skills (i.e. writing a resume and interviewing),I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Two or More Races,"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
