same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,10 or less,Individual / Group Project Work,Somewhat well,Likely,Somewhat supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer)",Work full-time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,T/bus pass,Insurance,Medical,Clothes/shoes,Eating out,Vacation/trip,Other household bills",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Nearly every day,More than half the days,More than half the days,More than half the days,Female,Two or More Races,No other language,My grandparent(s)
No,I had an in-person job or internship,16 to 20,Individual / Group Project Work,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",No,Yes,Yes,No,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,"Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Clothes/shoes,Eating out,I don't pay for any household bills",Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Two or More Races,No other language,Only my mother
No,I had an in-person job or internship,26+,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Often supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,More than half the days,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,,Yes,Yes,Agree,,,,,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,I had an in-person job or internship,21 to 25,Day Care / Day Camp,Neither well nor poorly,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,I don’t know,Undecided,Yes,Yes,Yes,Yes,Yes,Yes,No,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Clothes/shoes,Eating out",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Not at all,Not at all,Several days,Male,Native Hawaiian or Other Pacific Islander (Not Hispanic or Latino,"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
Yes,I had an in-person job or internship,10 or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,16 to 20,Peer Leader,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Sports: (e.g., coach, athlete)","Enroll at a 2 year community college,Undecided",Yes,Yes,No,Yes,Yes,Yes,Yes,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Groceries",,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,10 or less,Other,Somewhat well,Not sure / maybe,Often supportive,No,No,No,Yes,No,No,Somewhat Good,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,,Day Care / Day Camp,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,I don’t know,Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Prefer not to say,"I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Several days,Several days,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, other (please write in)",Only my mother
No,,,Other,Somewhat well,Not sure / maybe,Somewhat supportive,Yes,Yes,Yes,Yes,No,Yes,Somewhat Good,No,Yes,Yes,Yes,I don’t know,Enroll at a 4 year college/university,No,Yes,No,Yes,Yes,No,Yes,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Other:,"I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Cell phone,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Not applicable (N/A),Sometimes,Not applicable (N/A),Not applicable (N/A),Sometimes,Sometimes,More than half the days,Several days,More than half the days,More than half the days,Female,Hispanic or Latino,"Yes, Spanish",Both of my parents
