same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work full-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Utilities (gas/electric)",Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Peer Leader,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)","Enroll at a 2 year community college,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,No,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",Undecided,Yes,No,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers),Prefer not to say,I don't pay for any household bills,Most of the time,Never,Sometimes,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Never,Sometimes,Several days,Not at all,Not at all,Not at all,Non-binary,Hispanic or Latino,No other language,My grandparent(s)
Yes,I had an in-person job or internship,,Peer Leader,Very well,Not sure / maybe,Very supportive,Yes,,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,16 to 20,Peer Leader,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Clothes/shoes,Eating out",Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Several days,Not at all,Several days,Several days,Female,Hispanic or Latino,"Yes, Spanish",Other relative
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Very well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,No,Yes,No,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Two or More Races,No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,16 to 20,Peer Leader,Very well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Two or More Races,Prefer not to say,Only my mother
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,No,Yes,No,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)",I don't have a good idea how much I spend in things and I don't keep track of my overall spending,I don't pay for any household bills,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Sometimes,Not applicable (N/A),Several days,Several days,Several days,Several days,Male,Hispanic or Latino,"Yes, Portuguese",Only my mother
Yes,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Education: (e.g.,  teacher, professor, or daycare provider),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Never,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,21 to 25,Peer Leader,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Protective Services: (e.g.,  firefighter, police officer, security guard)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Groceries,Clothes/shoes,Eating out",Most of the time,Never,Sometimes,Sometimes,Sometimes,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Never,Never,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Two or More Races,Prefer not to say,Only my mother
Yes,I had an in-person job or internship,11 to 15,Peer Leader,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)","Enroll at a 4 year college/university,Work full-time,Work part-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Groceries,T/bus pass,Rent/mortgage,Clothes/shoes,Eating out,Entertainment,Other household bills",Most of the time,Sometimes,Sometimes,This does not apply to me,Sometimes,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Never,Never,Not applicable (N/A),Several days,Several days,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,10 or less,Peer Leader,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Legal: (e.g.,  lawyer, judge, paralegal)","Enroll at a 4 year college/university,Work full-time",Yes,Yes,No,Yes,Yes,Yes,Yes,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out,Entertainment,Vacation/trip,I don't pay for any household bills",Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Most of the time,Most of the time,Never,Most of the time,Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Prefer not to say
