same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,11 to 15,Day Care / Day Camp,Somewhat well,Likely,Often supportive,Yes,Yes,Yes,Yes,Yes,Yes,Neither Good Nor Bad,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),I don’t know",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,No,Yes,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",Medical,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Most of the time,Never,Not applicable (N/A),Sometimes,Never,Sometimes,Sometimes,Not at all,More than half the days,More than half the days,More than half the days,Male,Black or African American (Not Hispanic or Latino),"Yes, other (please write in)",Only my father
No,I had a mix of in-person and virtual/remote work,16 to 20,Outdoor / Maintenance / Conservation,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,I don’t know,"Enroll at a 4 year college/university,Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Clothes/shoes,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),Prefer not to say,Only my mother
No,I had an in-person job or internship,10 or less,Other,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Protective Services: (e.g.,  firefighter, police officer, security guard),Military: (e.g., army, navy, air force, marines, coast guard),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Join the military (e.g., army, navy, air force, marines, coast guard)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out",Most of the time,Never,Most of the time,Sometimes,Most of the time,Never,Never,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Sometimes,Never,Nearly every day,Nearly every day,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had a mix of in-person and virtual/remote work,16 to 20,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager)",Enroll at a 2 year community college,Yes,Yes,,Yes,,,,,,,,,,,Agree,,,,,,,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Cell phone,Most of the time,,,,,,,,,,,,,Not at all,,,,Male,Black or African American (Not Hispanic or Latino),No other language,Only my father
Yes,I had a mix of in-person and virtual/remote work,16 to 20,Outdoor / Maintenance / Conservation,Very well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out,Entertainment",Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Spanish",Only my mother
No,I had a mix of in-person and virtual/remote work,11 to 15,Other,Somewhat well,Very likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner)","Enroll in a career training program (e.g., City Academy, YearUp)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Clothes/shoes,Most of the time,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Several days,Several days,Several days,Several days,Male,Two or More Races,"Yes, Cape Verdean/French/Haitian Creole",Only my mother
Yes,I had a mix of in-person and virtual/remote work,16 to 20,Individual / Group Project Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,,Yes,Yes,"Management: (e.g., CEO, director, manager),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary),Farming, Fishing, and Forestry: (e.g.,  conservationist, agricultural inspector),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work full-time",No,No,Yes,Yes,Yes,Yes,No,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Other (please write in):,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer)",Other (please write in):,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Car,Rent/mortgage,Clothes/shoes,Other household bills",This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Live on my own
No,I had a virtual (remote) job or internship,21 to 25,Individual / Group Project Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Groceries",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Several days,Male,Two or More Races,No other language,Prefer not to say
Yes,I had an in-person job or internship,21 to 25,Other,Very well,Likely,N/A - I did not have a job supervisor,,,,,,,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Legal: (e.g.,  lawyer, judge, paralegal),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Enroll in a career training program (e.g., City Academy, YearUp),Enroll in an apprenticeship program (e.g., construction, hospitality)",No,No,Yes,Yes,Yes,No,No,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Clothes/shoes,Eating out,Entertainment",Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Never,Sometimes,Sometimes,Nearly every day,Nearly every day,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
